# Lynis report
#
# Generated by Lynis 3.1.6
#
# Date: Tue Mar  3 12:39:00 CET 2026
# Host: unknown-2
# Kernel: Darwin 24.2.0
# Platform: macos
#

hardening_index=74
tests_performed=170
warnings=0
suggestions=14

# Warnings
# warning[]=Test[DETAILS]

# Suggestions
suggestion[]=AUTH-9262|Install a PAM module for password strength testing like pam_cracklib or pam_passwdqc or libpam-passwdqc
suggestion[]=FILE-6310|Symlinked mount point needs to be checked manually|/home
suggestion[]=FILE-6310|Symlinked mount point needs to be checked manually|/tmp
suggestion[]=FILE-6310|Symlinked mount point needs to be checked manually|/var
suggestion[]=NAME-4402|Remove duplicate lines in /etc/hosts
suggestion[]=NAME-4404|Add the IP name and FQDN to /etc/hosts for proper name resolving
suggestion[]=PKGS-7398|Install a package audit tool to determine vulnerable packages
suggestion[]=HTTP-6640|Install Apache mod_evasive to guard webserver against DoS/brute force attempts
suggestion[]=HTTP-6643|Install Apache modsecurity to guard webserver against web application attacks
suggestion[]=LOGG-2190|Check what deleted files are still in use and why
suggestion[]=FILE-7524|Consider restricting file permissions
suggestion[]=HOME-9304|Double check the permissions of home directories as some might be not strict enough
suggestion[]=HRDN-7222|Harden compilers like restricting access to root user only
suggestion[]=HRDN-7230|Harden the system by installing at least one malware scanner, to perform periodic file system scans

# End of report
